A1,𓀀,Seated man,"Det. of man, names; Pronoun1st sing.i, wi, ink, kwi.“I,” “me,” “my.”"
A2,𓀁,Man with hand to mouth,"Det. of eat, drink, speak, think."
A3,𓀂,Man sitting on heel,Det. of sit.
A4,𓀃,Man with arms raised,"Det. adoration, hide"
A5,𓀄,Man hiding,Det. hide
A5a,𓀅,,
A6,𓀆,Man purifying,"Det. purity, cleanliness"
A6a,𓀇,,
A6b,𓀈,,
A7,𓀉,Fatigued man,"Det. weary, weak"
A8,𓀊,Man performinghnw,Det. inhnw“jubilation”
A9,𓀋,Man with basket on head,"Det. in3ṯp“load,”f3i“carry,”k3t“work.”"
A10,𓀌,Man holding an oar,Det. insḳdw“sail.”
A11,𓀍,Man with scepter and crook,Det.ḫnms“friend.”
A12,𓀎,Man with bow and quiver,"Det.mšʿ“army,” soldier."
A13,𓀏,Man with arms bound,Det.ḫfty“enemy.”
A14,𓀐,Man with bleeding head,"Det. ofmwt“die,” enemy."
A14a,𓀑,Man with axe to head,Var. of A14
A15,𓀒,Man falling,"Det.ḫr“fall,”sḫrt“overthrow.”"
A16,𓀓,Man bowing,Det.ksi“bow.”
A17,𓀔,Child with hand to mouth,Det.šri“young.” Ideo.ẖrd“child.”
A17a,𓀕,Child sitting,"Det. sit, young."
A18,𓀖,Child wearing red crown,Det. child-king
A19,𓀗,Aged man bending with stick,"Det.i3w“old,”smsw“eldest,”wr“great one, chief.”"
A20,𓀘,Man leaning on forked stick,Var. of A19.
A21,𓀙,Man with stick,"Det. and Ideo.sr“official, noble.”"
A22,𓀚,Statue of man with stick and scepter,Det. statue.
A23,𓀛,King with stick and mace,"Det.ity, “sovereign.”"
A24,𓀜,Man striking with stick in both hands,"Det.ḥwi, “strike,” nḥm“take away.” Ideo.nḫtstrong."
A25,𓀝,Man striking with stick in one hand,Det.hwi“strike.”
A26,𓀞,Man beckoning,"Det.nis“call.” Ideo. vocativei,“Oh!”"
A27,𓀟,Man running,"Phon.in“by,” agent particle."
A28,𓀠,Man with arms raised,"Det.ḳ3“high,”ḥʿi “rejoice.”"
A29,𓀡,Man upside down,Det. upside down.
A30,𓀢,Man with arms outstretched,"Det.i3w“praise,”dw3“adoration.”"
A31,𓀣,Man with arms turned behind him,Det. turn away.
A32,𓀤,Man dancing,Det. dance.
,𓀥,,
A33,𓀦,Man with stick and bundle,"Det. wander, herdsman."
A34,𓀧,Man pounding in a mortar,"Det.ḫwsi “pound, build.”"
A35,𓀨,Man building a wall,Det. and Ideo.ḳd“build.”
A36,𓀩,Man straining into a vessel,Det. and Ideo.ʿfty “brewer.”
A37,𓀪,Commoner form A36,Use as A36.
A38,𓀫,Man holding two animal emblems,Ideo.ḳis/ḳsi“”Cusae” (town).
A39,𓀬,Man holding two giraffes,Use as A38.
A40,𓀭,Seated god,"Det. god. Replaces A1 as 1st sing pronoun when god speaks.i, wi, ink, kwi."
A40a,𓀮,,
A41,𓀯,Seated king,"Det. nsw“king,”ḥm“majesty,”nb“lord.”"
A42,𓀰,Seated king holding flail,Use as A41.
A42a,𓀱,,
A43,𓀲,King wearing white crown of Upper Egypt,Det. king of Upper Egypt.
A43a,𓀳,,
A44,𓀴,King holding flail and wearing white crown of Upper Egypt,Use as A43.
A45,𓀵,King wearing red crown of Lower Egypt.,Det. and Ideo.bity“king of Lower Egypt.”
A45a,𓀶,,
A46,𓀷,King holding flail and wearing red crown of Lower Egypt.,Same as A45
A47,𓀸,Seated sheperd,"Det. and Ideo.s3w“guard,”mniw“herdsman.”"
A48,𓀹,Man holding knife,Det.iry“relating to.”
A49,𓀺,Foreigner with stick,"Det. foreigner,ʿ3mw“Asiatics.”"
A50,𓀻,Noble seated on chair,"Det. revered person, deceased. Var. A1 for 1st sing. pronoun."
A51,𓀼,Noble seated on chair with flagellum,Det. and Ideo.špsi“noble”
A52,𓀽,Kneeling noble with flail,"Det. revered person, deceased."
A53,𓀾,Upright mummy,"Det. mummy, statue, likeness, form."
A54,𓀿,Recumbent mummy,Det. dead.
A55,𓁀,Mummy on bed,"Det.sḏr“lie down,” dead."
A59,𓁄,Man threatening stick with one hand,Det. drive off.
B1,𓁐,Seated Woman,"Det. woman, name. Sometimes for A1 1st sing. pronoun –i"
