𓄿,Vulture
𓇋,Reed leaf
𓇋𓇋,Double Reed Leaf
𓂝,Arm
𓅱 𓏲,"Quail chick, rope curl"
𓃀,Foot
𓊪,Stool
𓆑,Horned viper
𓅓　𓐝,Owl
𓈖　𓋔,"Water, red crown"
𓂋,Mouth
𓉔,House plan
𓎛,Rope
𓐍,Unknown
𓄡,Animal belly and tail
𓊃,Door bolt
𓋴,Folded cloth
𓈙,Pool
𓈎,Hill
𓎡,Basket with handle
𓎼,Stand for vessel
𓏏,Bread loaf
𓍿,Tethering rope
𓂧,Hand
𓆓,Cobra
𓅠𓈖𓆑𓇓𓅱𓅓𓉐𓏤,He found him in the house.
𓄔𓅓𓈖𓆑𓌃𓂧𓏏𓀁𓇋𓏠𓈖𓀭,He heard the speech of Amun
𓏏𓎛𓈎𓏏𓏊𓆤𓏏𓏊𓇋𓂋𓊪𓏊𓏥,"Bread, beer, honey, and wine"
𓉐𓏤,House
𓇋𓏠𓈖𓀭,Amun
𓎟𓏤,"Lord, owner, master"
𓊹,God
𓂋𓂝𓇳𓁐,Re
𓂋𓈖,Name
𓊃𓀀𓏤,Man
𓅭𓏤,Son
𓌢𓈖𓀀,Brother
𓏞𓀀,Scribe
𓂧𓊪𓏏𓊛,Boat
𓂋𓈖𓈖𓏞𓀀,the name of the scribe
𓉐𓏤𓂋𓂝𓇳𓁐,the house of Re
𓅭𓏤𓈖𓏞𓀀,the son of the scribe
𓅐𓏏𓁐𓋴,Her mother
𓌴𓁹𓄿𓄿𓈖𓏥,We see
𓇋𓅓𓆑,Therewith him
𓇋𓅱𓅠𓅓𓈖𓀀𓋴𓏭,I found her
𓇋𓅱𓅠𓅓𓈖𓀀𓋴𓏭𓏞𓀀,The scribe found her
𓏌𓎡𓏏𓆑𓀀𓆑,I am his father
𓍋𓃀𓈋𓊖,House
𓈌𓏏𓏤,Amun
𓋁𓃀𓏏𓏏𓈉,"Lord, owner, master"
𓉺𓏌𓊖,King
𓋀𓏏𓈉,God
𓇋𓈖𓊪𓅱𓀭,Re
𓇋𓏏𓆑𓀀,Name
𓋆𓏏𓊖,Man
𓅐𓏏𓁐,Son
𓂋𓍿𓀀𓁐𓏥,Brother
𓂓𓏤,Scribe
𓊨𓏏𓉐,Boat
𓏌𓎡𓀀𓎟𓋀𓏏𓈉,I am the lord of the west
𓏏𓄿𓅐𓏏𓁐 𓈖𓏏 𓅭𓏏𓎡,The mother of your daughter
𓂓𓏤𓍿 𓊪𓈖,This Ka of yours
𓂧𓊪𓏏𓊛–𓏏𓆑,That boat
𓇋𓈖,by
𓅓,in
𓏇𓇋,"like, according to"
𓅓𓅓,among
𓈖,"to, for"
𓂋,"to, toward"
 𓎛𓈖𓂝,together with
𓂋𓄖𓂻𓊖𓏏𓏤𓆑,in order to reach his city
𓅓𓂝,in the hand of
𓅓𓄂𓏏𓏤,in front of
𓅓𓄚𓈖𓏌𓅱𓉐,inside
𓇋𓅱𓀀𓁷𓏤𓄡𓏏𓏤𓀀𓅓𓃀𓅡𓄿𓂺𓏛𓆑,I was on my belly before him
𓅓𓐟𓏤,"in the back of, after"
𓂋𓐛𓏤,beside
𓁷𓏤,"upon, on"
𓐍𓏏𓆑,"opposite, while"
 𓏅𓈖𓏏,"in front of, at the head of"
𓐍𓂋,"with, under, before"
𓆱𓐍𓏏𓂻,"through, afterwards"
𓌨𓂋,under
𓁶𓏤,on top
𓇥𓂋,since
𓃹𓈖𓏌𓏏𓇼𓇳,Hour
𓊨𓁹𓀭,Osiris
𓇣𓂧𓏏𓌽𓏥,Emmer (wheat)
